CodigoPessoaJuridica;CodigoTipoEmpresa;RazaoSocial;NomeFantasia;NumeroCNPJ;NumeroInscricaoEstadual
4574;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;;33337122008888;
4575;2;YARA BRASIL FERTILIZANTES S/A;;92660604015538;
4576;2;INTERCEMENT BRASIL S.A.;INTERCEMENT BRASIL S.A.;62258884001884;
4577;2;RAIZEN COMBUSTIVEIS S.A;;33453598009260;
4578;2;AGREX DO BRASIL S.A.;;10515785005905;
4579;1;NIDERA SEMENTES LTDA.;;7053693005350;
4580;2;CGG TRADING S.A;;13448516000811;
4581;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102001494;
4582;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102001818;
4583;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102002032;
4584;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102001060;
4585;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102000765;
4586;1;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102000927;
4587;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS;94813102001656;
4588;2;VALE S/A;VALE S/A;33592510013051;
4589;1;MOSAIC FERTILIZANTES DO BRASIL LTDA;MOSAIC;61156501009960;
4590;2;AGREX DO BRASIL S.A.;;10515785005239;
4591;2;ALESAT COMBUSTIVEIS S.A.;;23314594006575;
4592;2;CARGILL AGRICOLA S A;;60498706016746;
4593;2;CJ SELECTA S.A.;CJ SELECTA S.A.;969790001947;
4594;2;RAIZEN COMBUSTIVEIS S/A;;33453598027838;
4595;1;NIDERA SEMENTES LTDA.;NIDERA SEMENTES;7053693005008;
4596;2;COPERSUCAR S.A.;;10265949000177;
4597;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042003918;
4598;1;CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA;;5492968000953;
4599;2;USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;;60894730003635;
4600;2;GERDAU ACOMINAS S/A;ACOMINAS;17227422000520;
4601;2;COMPANHIA INDUSTRIAL DE CIMENTO APODI;APODI;10260249000947;
4602;2;COMPANHIA INDUSTRIAL DE CIMENTO APODI;APODI;10260249000866;
4603;2;VALE FERTILIZANTES S.A.;;33931486000564;
4604;2;CGG TRADING S.A;CGG TRADING S.A;13448516001036;
4605;2;GLENCANE BIOENERGIA S.A.;UNIDADE RIO VERMELHO;68316801000102;
4606;2;TRES TENTOS AGROINDUSTRIAL SA;TRES TENTOS AGROINDUSTRIAL;94813102001222;
4607;2;AFG BRASIL S/A;AFG BRASIL S/A;3209087000108;
4608;2;BTG PACTUAL COMMODITIES S.A;;14796754000538;
4609;2;NATURALLE AGRO MERCANTIL S.A.;;3465501000212;
4610;2;CGG TRADING S.A;;13448516001974;
4611;2;CARGILL AGRICOLA S A;;60498706033403;
4612;3;COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL DO ESTADO DE SAO PAULO.;;61149589012004;
4613;1;FIAGRIL LTDA;;2734023000317;
4614;1;FIAGRIL LTDA;;2734023002107;
4615;1;FIAGRIL LTDA;;2734023000406;
4616;1;FIAGRIL LTDA;;2734023002956;
4617;1;FIAGRIL LTDA;;2734023003685;
4618;1;FIAGRIL LTDA;;2734023002360;
4619;1;FIAGRIL LTDA;FIAGRIL;2734023002522;
4620;2;LAFARGE SUDESTE S.A;;21109697000294;
4621;2;AFG BRASIL S/A;;3209087000876;
4622;1;ESTRADA - DISTRIBUIDORA DE DERIVADOS DO PETROLEO LTDA;ESTRADA DISTRIBUIDORA DE DERIVADOS DO PETROLEO LTDA;1804345000403;
4623;1;AURELIO GOETTEMS;AGROPECUARIA CAMPO E LAVOURA;74772823001909;
4624;2;NATURALLE AGRO MERCANTIL S.A.;;3465501000808;
4625;1;NIDERA SEMENTES LTDA.;;7053693005199;
4626;1;SEARA-IND. E COMERCIO DE PRODUTOS AGRO-PECUARIOS LTDA;SEARA;75739086005307;
4627;2;COFCO INTERNATIONAL BRASIL S.A;COFCO INTERNATIONAL BRASIL S.A;6315338005005;
4628;2;CARGILL AGRICOLA S A;CARGILL AGRICOLA;60498706029805;
4629;2;CARGILL AGRICOLA S A;CARGILL AGRICOLA;60498706029210;
4630;3;COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL DO ESTADO DE SAO PAULO.;;61149589005229;
4631;1;ESTRADA - DISTRIBUIDORA DE DERIVADOS DO PETROLEO LTDA;;1804345000241;
4632;2;USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL;USINA ALTO ALEGRE S.A. - ACUCAR E ALCOOL;48295562001965;
4633;2;USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS;USIMINAS;60894730007703;
4634;1;ROSEIRA EXTRAÇÃO E COMERCIO DE AREIA E PEDRA LTDA;ROSEIRA EXTRAÇÃO;72793334000413;
4636;2;NATURALLE AGRO MERCANTIL S.A.;;3465501000999;
4637;1;MTRANSMINAS MINERACOES LTDA;;21488333000505;
4638;1;NIDERA SEMENTES LTDA.;;7053693003145;
4639;1;NIDERA SEMENTES LTDA;;7053693003307;
4640;1;MOSAIC FERTILIZANTES DO BRASIL LTDA;MOSAIC FERTILIZANTES DO BRASIL LTDA;61156501011352;
4641;1;BELAGRICOLA COM E REP DE PRODUTOS AGRICOLAS LTDA;BELAGRICOLA;79038097007941;
4642;1;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042002431;
4643;2;NATURALLE AGRO MERCANTIL S.A.;;3465501001103;
4644;2;NATURALLE AGRO MERCANTIL S.A.;;3465501000131;
4645;2;LOUIS DREYFUS COMMODITIES BRASIL S.A.;;47067525019208;
4646;2;AGREX DO BRASIL S.A.;;10515785001918;
4647;2;TOTAL DISTRIBUIDORA S/A;;1241994001687;
4648;2;RAIZEN COMBUSTIVEIS S.A.;RAIZEN COMBUSTIVEIS S.A.;33453598010439;
4649;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;IPIRANGA;33337122003738;
4650;2;Transnordestina Logística S/A;Transnordestina;2281836000137;
4651;1;TRUFER COMÉRCIO DE SUCATAS LTDA;TRUFER;62862479000122;
4652;1;CENTRONORTE LOGISTICA INTEGRADA LTDA;;1755643000450;
4653;2;HOLCIM (BRASIL) S.A.;;60869336010422;
4654;2;CIA DE FERRO LIGAS DA BAHIA FERBASA;;15141799004362;
4655;2;BUNGE ALIMENTOS S/A;;84046101057624;
4656;1;MTO SERVIÇOS LOGÍSTICOS LTDA;MTO;18527562000153;
