CodigoDesempenhoLocomotiva;CodigoFerrovia;CodigoModeloLocomotiva;DataReferencia;NumeroConsumoCombustivel;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTKBTracionada;NumeroTKUTracionada;NumeroDistanciaPercorrida
8908;8;146;01/07/2008 00:00:00;1464410;11969,0;0,0;0,0;12311,0;0,0;17385,0;0,0;0,0;158907330.0;95296373.0;332362
8909;8;146;01/08/2008 00:00:00;1622152;12015,0;0,0;0,0;14501,0;0,0;15217,0;0,0;0,0;174507413.0;105922718.0;351972
8910;8;146;01/09/2008 00:00:00;1464410;12252,0;0,0;0,0;13505,0;0,0;14628,0;0,0;0,0;161065346.0;96852634.0;329854
8911;8;146;01/10/2008 00:00:00;1344154;12763,0;0,0;0,0;13884,0;0,0;14959,0;0,0;0,0;138137607.0;80134449.0;293174
8912;8;146;01/11/2008 00:00:00;1344154;12683,0;0,0;0,0;15164,0;0,0;13708,0;0,0;0,0;125755282.0;73078822.0;252058
8913;8;146;01/12/2008 00:00:00;1242746;2924,0;0,0;0,0;3306,0;0,0;36876,0;0,0;0,0;129694278.0;77386242.0;272956
8914;8;146;01/01/2009 00:00:00;1192806;1410,8;0,0;0,0;12855,0;0,0;13955,0;0,0;0,0;119684109.0;71248799.0;253204
8915;8;146;01/02/2009 00:00:00;1138067;13285,0;0,0;0,0;10985,0;0,0;13362,0;0,0;0,0;116685388.0;68215676.0;245405
8916;8;146;01/03/2009 00:00:00;1276293;810,0;0,0;0,0;6309,0;0,0;76,0;0,0;0,0;126201708.0;73336910.0;264781
8917;8;146;01/04/2009 00:00:00;1169910;13677,0;0,0;0,0;13272,0;0,0;13371,0;0,0;0,0;120219706.0;70884319.0;249196
8918;8;146;01/05/2009 00:00:00;1091799;15663,0;0,0;0,0;14146,0;0,0;11855,0;0,0;0,0;108370764.0;63498042.0;219023
8919;8;146;01/06/2009 00:00:00;1108104;12763,0;0,0;0,0;13884,0;0,0;14959,0;0,0;0,0;138137607.0;80134449.0;293174
8920;8;146;01/07/2009 00:00:00;1265680;16075,0;0,0;0,0;12406,0;0,0;12746,0;0,0;0,0;132350656.0;77691410.0;273582
8921;8;146;01/08/2009 00:00:00;1209114;350,7;0,0;0,0;3836,0;0,0;10269,0;0,0;0,0;119512754.0;69915638.0;246332
8922;8;146;01/09/2009 00:00:00;1225765;1468,0;0,0;0,0;38320,0;0,0;406,0;0,0;0,0;123172747.0;72901141.0;260571
8923;8;146;01/10/2009 00:00:00;1268867;0,0;41908,0;0,0;123,0;0,0;0,0;41908,0;0,0;124968564.0;73381104.0;263249
8924;8;146;01/11/2009 00:00:00;1337973;120,0;0,0;0,0;40664,0;0,0;0,0;15,0;0,0;128966223.0;76145779.0;272518
8925;8;146;01/12/2009 00:00:00;1196569;1932,5;0,0;0,0;9704,0;0,0;11884,0;0,0;0,0;120395936.0;71259815.0;255408
8926;8;146;01/01/2010 00:00:00;1219873;12456,0;0,0;0,0;11871,0;0,0;17199,0;0,0;0,0;116959672.0;67942956.0;254962
8927;8;146;01/02/2010 00:00:00;1020212;674,0;0,0;0,0;11654,0;0,0;17256,0;0,0;160,0;103002424.0;60379537.0;225323
8928;8;146;01/03/2010 00:00:00;1262610;432,0;0,0;0,0;13221,0;0,0;23522,0;0,0;0,0;128965857.0;75305439.0;273207
8929;8;146;01/04/2010 00:00:00;1213069;720,0;0,0;41760,0;32874,0;0,0;60,0;0,0;4176,0;124116612.0;72243041.0;256154
8930;8;146;01/05/2010 00:00:00;1198865;77,0;0,0;0,0;22540,0;0,0;2352,0;0,0;0,0;117201147.0;68868199.0;246836
8931;4;146;01/05/2010 00:00:00;179;0,0;0,0;0,0;0,0;0,1;0,0;3,8;0,0;85642.0;59437.0;56
8932;8;146;01/06/2010 00:00:00;1234312;14511,0;0,0;4590,0;20512,0;2354,0;30524,0;4210,0;1232,0;8086320.0;5332515.0;30197
8933;8;146;01/07/2010 00:00:00;1322990;7452,0;0,0;0,0;2541,0;0,0;7452,0;0,0;0,0;126701160.0;74590614.0;272419
8934;11;147;01/01/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8935;11;147;01/02/2006 00:00:00;0;0,0;0,0;0,0;2016,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8936;11;147;01/03/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8937;11;147;01/04/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8938;11;147;01/05/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8939;11;147;01/06/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8940;11;147;01/07/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8941;11;147;01/08/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8942;11;147;01/09/2006 00:00:00;0;0,0;0,0;0,0;2160,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8943;11;147;01/10/2006 00:00:00;0;744,1;0,0;0,0;1487,8;0,0;0,0;0,0;0,0;0.0;0.0;0
8944;11;147;01/11/2006 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8945;11;147;01/12/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8946;11;147;01/01/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
