CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
2477;7827;11;0
2478;7829;1;0
2479;7858;12;0
2480;7880;1;0
2481;7895;12;0
2482;7905;4;0
2483;7909;1;0
2484;7909;4;0
2485;7909;5;14553
2486;7909;11;0
2487;7914;4;0
2488;7914;11;0
2490;7921;7;59500
2491;7922;7;4742463
2492;7923;7;2191630
2493;7924;1;1332
2494;7924;7;538299
2498;7926;1;217676
2499;7926;5;29665
2500;7927;1;1100
2501;7927;5;8500
2502;7928;1;17000
2503;7928;5;79600
2504;7929;1;644150
2505;7929;5;15800
2506;7934;9;2100
2507;7934;5;4300
2508;7935;9;32251
2509;7935;5;82624
2510;7938;9;3100
2511;7942;5;37653
2512;7947;5;1323283
2513;7948;1;0
2514;7948;5;0
2518;7980;1;245375
2519;7980;5;28960
2520;7981;1;3000
2521;7981;5;9100
2522;7982;1;22500
2523;7982;5;84000
2524;7983;1;7000
2525;7984;1;805770
2526;7984;5;14450
2527;7989;9;8800
2528;7989;5;7770
2529;7990;9;30107
2530;7990;5;89741
2531;8003;7;84000
2532;8004;7;5500622
2533;8005;7;2753475
2534;8006;1;17939
2535;8006;7;654331
2536;8007;5;1478299
2537;8019;1;0
2538;8043;4;0
2539;8050;1;0
2540;8050;4;0
2541;8050;5;0
2542;8050;11;0
2543;8056;4;0
2544;8056;11;0
2545;8064;12;0
2554;8075;1;225679
2555;8075;5;26409
2556;8076;1;10000
2557;8076;5;34800
2558;8077;1;40000
2559;8077;5;74300
2560;8078;1;7000
2561;8079;1;791510
2562;8079;5;13100
2565;8085;9;8400
2566;8085;5;12901
2567;8086;9;46839
2568;8086;5;96013
2569;8092;5;29229
2572;8099;7;107500
2573;8100;7;5570297
2574;8101;7;2787394
2575;8102;1;4123
2576;8102;7;692785
2577;8103;5;1525258
2578;8116;5;0
2579;8116;9;0
2580;8119;1;0
2581;8129;4;0
2582;8136;1;0
2583;8136;4;0
2584;8136;5;0
2585;8136;11;0
2586;8142;4;0
2587;8142;11;0
2588;8163;12;0
2589;8178;1;0
2590;8194;4;40590
2591;8201;1;0
2592;8201;4;0
2593;8201;5;3002
2594;8201;11;0
2595;8207;4;0
2596;8207;11;0
2600;8209;1;274949
2601;8209;5;12274
2602;8210;1;7500
2603;8210;5;7700
2604;8211;1;55400
2605;8211;5;116850
2606;8212;1;13500
2607;8213;1;854080
2608;8213;5;17100
2609;8217;9;2000
2610;8217;5;4000
